周次,指标,首贷,复贷,整体,环比变化
W1(5/1-5/7),进件数,8500,3200,11700,
W1(5/1-5/7),放款合同金额,1530000,2460000,3990000,
W1(5/1-5/7),件均,180,769,341,
W1(5/1-5/7),前置通过率,28.5%,72.3%,,
W1(5/1-5/7),后置通过率,68.2%,85.1%,,
W1(5/1-5/7),综合通过率,19.4%,61.5%,,
W1(5/1-5/7),用信率,42.5%,68.3%,,
W1(5/1-5/7),FPD,4.2%,3.1%,,
W1(5/1-5/7),复贷率,,62.0%,,
W2(5/8-5/14),进件数,8600,3100,11700,
W2(5/8-5/14),放款合同金额,1550000,2480000,4030000,
W2(5/8-5/14),件均,180,800,344,
W2(5/8-5/14),前置通过率,28.2%,72.0%,,
W2(5/8-5/14),后置通过率,68.0%,85.0%,,
W2(5/8-5/14),综合通过率,19.2%,61.2%,,
W2(5/8-5/14),用信率,42.8%,68.8%,,
W2(5/8-5/14),FPD,4.2%,3.0%,,
W2(5/8-5/14),复贷率,,63.0%,,
W3(5/15-5/21),进件数,7100,3300,10400,
W3(5/15-5/21),放款合同金额,1280000,2560000,3840000,
W3(5/15-5/21),件均,180,776,369,
W3(5/15-5/21),前置通过率,28.5%,72.5%,,
W3(5/15-5/21),后置通过率,68.5%,85.0%,,
W3(5/15-5/21),综合通过率,19.5%,61.6%,,
W3(5/15-5/21),用信率,43.0%,68.5%,,
W3(5/15-5/21),FPD,4.1%,2.9%,,
W3(5/15-5/21),复贷率,,64.5%,,
