周次,指标,首贷,复贷,整体,环比变化
W1(5/1-5/7),进件数,8500,3200,11700,
W1(5/1-5/7),放款合同金额,1530000,2460000,3990000,
W1(5/1-5/7),件均,180,769,341,
W1(5/1-5/7),前置通过率,28.5%,72.3%,,
W1(5/1-5/7),后置通过率,68.2%,85.1%,,
W1(5/1-5/7),综合通过率,19.4%,61.5%,,
W1(5/1-5/7),用信率,42.5%,68.3%,,
W1(5/1-5/7),FPD,4.2%,3.1%,,
W1(5/1-5/7),复贷率,,62.0%,,
W2(5/8-5/14),进件数,8800,3100,11900,
W2(5/8-5/14),放款合同金额,1620000,2520000,4140000,
W2(5/8-5/14),件均,184,813,348,
W2(5/8-5/14),前置通过率,28.0%,71.8%,,
W2(5/8-5/14),后置通过率,67.5%,84.9%,,
W2(5/8-5/14),综合通过率,18.9%,61.0%,,
W2(5/8-5/14),用信率,43.1%,69.0%,,
W2(5/8-5/14),FPD,4.3%,3.0%,,
W2(5/8-5/14),复贷率,,63.0%,,
W3(5/15-5/17),进件数,4500,1800,6300,
W3(5/15-5/17),放款合同金额,,1410000,,
W3(5/15-5/17),件均,165,783,345,
W3(5/15-5/17),前置通过率,24.0%,72.0%,,
W3(5/15-5/17),后置通过率,66.5%,85.0%,,
W3(5/15-5/17),综合通过率,16.0%,61.2%,,
W3(5/15-5/17),用信率,41.5%,68.0%,,
W3(5/15-5/17),FPD,3.7%,2.9%,,
W3(5/15-5/17),复贷率,,64.0%,,
