周次,指标,首贷,复贷,整体,环比变化
W1(5/1-5/7),进件数,8500,3200,11700,
W1(5/1-5/7),放款合同金额,1530000,2460000,3990000,
W1(5/1-5/7),件均,220,769,346,
W1(5/1-5/7),前置通过率,28.5%,72.3%,,
W1(5/1-5/7),后置通过率,68.2%,85.1%,,
W1(5/1-5/7),综合通过率,19.4%,61.5%,,
W1(5/1-5/7),用信率,42.5%,68.3%,,
W1(5/1-5/7),FPD,4.2%,3.1%,,
W1(5/1-5/7),复贷率,,62.0%,,
W2(5/8-5/14),进件数,8800,3100,11900,
W2(5/8-5/14),放款合同金额,1584000,2418000,4002000,
W2(5/8-5/14),件均,180,780,336,
W2(5/8-5/14),前置通过率,28.0%,71.8%,,
W2(5/8-5/14),后置通过率,67.5%,84.9%,,
W2(5/8-5/14),综合通过率,18.9%,61.0%,,
W2(5/8-5/14),用信率,43.1%,69.0%,,
W2(5/8-5/14),FPD,4.3%,3.0%,,
W2(5/8-5/14),复贷率,,63.0%,,
W3(5/15-5/21),进件数,8100,3300,11400,
W3(5/15-5/21),放款合同金额,1300000,2590000,3890000,
W3(5/15-5/21),件均,195,785,341,
W3(5/15-5/21),前置通过率,22.5%,72.5%,,
W3(5/15-5/21),后置通过率,66.8%,85.2%,,
W3(5/15-5/21),综合通过率,15.0%,61.8%,,
W3(5/15-5/21),用信率,41.8%,68.5%,,
W3(5/15-5/21),FPD,4.0%,3.0%,,
W3(5/15-5/21),复贷率,,64.5%,,
