周次,指标,首贷,复贷,整体,环比变化
W1(5/1-5/7),进件数,9500,3500,13000,
W1(5/1-5/7),放款合同金额,1710000,2695000,4405000,
W1(5/1-5/7),件均,180,770,339,
W1(5/1-5/7),前置通过率,29.0%,72.0%,,
W1(5/1-5/7),后置通过率,68.5%,85.0%,,
W1(5/1-5/7),综合通过率,19.9%,61.2%,,
W1(5/1-5/7),用信率,45.0%,70.0%,,
W1(5/1-5/7),FPD,4.1%,3.0%,,
W1(5/1-5/7),复贷率,,62.0%,,
W2(5/8-5/14),进件数,9800,3400,13200,
W2(5/8-5/14),放款合同金额,1764000,2652000,4416000,
W2(5/8-5/14),件均,180,780,335,
W2(5/8-5/14),前置通过率,29.2%,72.5%,,
W2(5/8-5/14),后置通过率,68.8%,85.2%,,
W2(5/8-5/14),综合通过率,20.1%,61.8%,,
W2(5/8-5/14),用信率,44.5%,69.5%,,
W2(5/8-5/14),FPD,4.0%,2.9%,,
W2(5/8-5/14),复贷率,,63.5%,,
W3(5/15-5/21),进件数,10200,3600,13800,
W3(5/15-5/21),放款合同金额,1836000,2808000,4644000,
W3(5/15-5/21),件均,180,780,336,
W3(5/15-5/21),前置通过率,29.5%,72.8%,,
W3(5/15-5/21),后置通过率,69.0%,85.5%,,
W3(5/15-5/21),综合通过率,20.4%,62.2%,,
W3(5/15-5/21),用信率,44.0%,69.0%,,
W3(5/15-5/21),FPD,3.9%,2.8%,,
W3(5/15-5/21),复贷率,,65.0%,,
W4(5/22-5/28),进件数,10500,3800,14300,
W4(5/22-5/28),放款合同金额,1890000,2964000,4854000,
W4(5/22-5/28),件均,180,780,339,
W4(5/22-5/28),前置通过率,29.8%,73.0%,,
W4(5/22-5/28),后置通过率,69.2%,85.8%,,
W4(5/22-5/28),综合通过率,20.6%,62.6%,,
W4(5/22-5/28),用信率,39.5%,65.0%,,
W4(5/22-5/28),FPD,3.8%,2.7%,,
W4(5/22-5/28),复贷率,,66.0%,,
W5(5/29-5/31),进件数,6200,2300,8500,
W5(5/29-5/31),放款合同金额,1116000,1817000,2933000,
W5(5/29-5/31),件均,180,790,345,
W5(5/29-5/31),前置通过率,29.5%,72.5%,,
W5(5/29-5/31),后置通过率,68.8%,85.0%,,
W5(5/29-5/31),综合通过率,20.3%,61.6%,,
W5(5/29-5/31),用信率,38.0%,64.0%,,
W5(5/29-5/31),FPD,3.7%,2.7%,,
W5(5/29-5/31),复贷率,,66.5%,,
