周次,指标,首贷,复贷,整体,环比变化
W1(5/1-5/7),进件数,8500,3200,11700,
W1(5/1-5/7),放款合同金额,1530000,2460000,3990000,
W1(5/1-5/7),件均,180,769,341,
W1(5/1-5/7),前置通过率,28.5%,72.3%,,
W1(5/1-5/7),后置通过率,68.2%,85.1%,,
W1(5/1-5/7),综合通过率,19.4%,61.5%,,
W1(5/1-5/7),用信率,42.5%,68.3%,,
W1(5/1-5/7),FPD,4.2%,3.1%,,
W1(5/1-5/7),复贷率,,62.0%,,
W2(5/8-5/14),进件数,8600,3100,11700,
W2(5/8-5/14),放款合同金额,1548000,2418000,3966000,
W2(5/8-5/14),件均,180,780,339,
W2(5/8-5/14),前置通过率,28.2%,72.0%,,
W2(5/8-5/14),后置通过率,68.0%,85.0%,,
W2(5/8-5/14),综合通过率,19.2%,61.2%,,
W2(5/8-5/14),用信率,42.8%,68.8%,,
W2(5/8-5/14),FPD,4.2%,3.0%,,
W2(5/8-5/14),复贷率,,63.0%,,
W3(5/15-5/21),进件数,8800,3300,12100,
W3(5/15-5/21),放款合同金额,1584000,2574000,4158000,
W3(5/15-5/21),件均,180,780,344,
W3(5/15-5/21),前置通过率,28.5%,72.5%,,
W3(5/15-5/21),后置通过率,68.5%,85.0%,,
W3(5/15-5/21),综合通过率,19.5%,61.6%,,
W3(5/15-5/21),用信率,43.0%,68.5%,,
W3(5/15-5/21),FPD,4.1%,2.9%,,
W3(5/15-5/21),复贷率,,64.5%,,
W4(5/22-5/28),进件数,9000,3500,12500,
W4(5/22-5/28),放款合同金额,1620000,2800000,4420000,
W4(5/22-5/28),件均,180,800,354,
W4(5/22-5/28),前置通过率,28.8%,73.0%,,
W4(5/22-5/28),后置通过率,68.8%,85.5%,,
W4(5/22-5/28),综合通过率,19.8%,62.4%,,
W4(5/22-5/28),用信率,43.5%,69.0%,,
W4(5/22-5/28),FPD,4.0%,2.8%,,
W4(5/22-5/28),复贷率,,65.0%,,
W5(6/1-6/7),进件数,9200,3600,12800,
W5(6/1-6/7),放款合同金额,1656000,2880000,4536000,
W5(6/1-6/7),件均,180,800,354,
W5(6/1-6/7),前置通过率,29.0%,73.2%,,
W5(6/1-6/7),后置通过率,69.0%,85.8%,,
W5(6/1-6/7),综合通过率,20.0%,62.8%,,
W5(6/1-6/7),用信率,43.8%,69.5%,,
W5(6/1-6/7),FPD,3.9%,2.7%,,
W5(6/1-6/7),复贷率,,66.0%,,
